stop_id,stop_name,stop_lat,stop_lon,A1,A2,A3,A4,stop_short_name,tts_stop_name,location_type,platform_code,parent_station,stop_code,stop_url,public_visible,jurisdiction,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,last_stop_update,has_pole,pole_material,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_stop_sign,stop_sign_maintainer,has_pole_frame,shelter_frame_area_cm,has_pip_real_time,pip_real_time_code,has_h2oa_signage,has_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_stop_sign_maintenance,last_stop_sign_check,has_sidewalk,sidewalk_type,has_tactile_schedules,stop_access_type,has_crosswalk,has_tactile_pavement,has_abusive_parking,has_audio_stop_info,wheelchair_boarding,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,light_rail,subway,train,boat,airport,bike_sharing,bike_parking,car_parking
171893,Av Alfredo César Torres (Col Ramalhão),38.786787,-9.373433,1,0,0,0,,Avenida Alfredo Césár Torres ( Colégio Ramalhão ),0,,,171893,,1,,,,Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172299,Av Alfredo César Torres,38.775232,-9.379988,1,0,0,0,,Avenida Alfredo Césár Torres,0,,,172299,,1,,,,Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172300,Av Alfredo César Torres,38.775368,-9.380098,1,0,0,0,,Avenida Alfredo Césár Torres,0,,,172300,,1,,,,Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172301,Av Alfredo César Torres (Bombeiros),38.782554,-9.375979,1,0,0,0,,Avenida Alfredo Césár Torres ( Bombeiros ),0,,,172301,,1,,,,Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172302,Av Alfredo César Torres (Bombeiros),38.782304,-9.376333,1,0,0,0,,Avenida Alfredo Césár Torres ( Bombeiros ),0,,,172302,,1,,,,Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172303,Av Alfredo César Torres (X) R Cevadinhas,38.784785,-9.374743,1,0,0,0,,Cruzamento Entre ( Avenida Alfredo Césár Torres ) E ( Rua Cevadinhas ),0,,,172303,,1,,,,Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172304,Av Alfredo César Torres (X) R Cevadinhas,38.785007,-9.374800,1,0,0,0,,Cruzamento Entre ( Avenida Alfredo Césár Torres ) E ( Rua Cevadinhas ),0,,,172304,,1,,,,Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172311,Av Alfredo César Torres (Casa S Lucas),38.756461,-9.388478,1,0,0,0,,Avenida Alfredo Césár Torres ( Casa São Lucas ),0,,,172311,,1,,,,Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180393,Av. Luís César Rodrigues Pereira,38.995950,-8.972420,0,1,0,0,,Avenida Luís Césár Rodrigues Pereira,0,,,180393,,1,,,,Vila Franca De Xira,,,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182268,Av. Luís César Rodrigues Pereira,38.995888,-8.971649,0,1,0,0,,Avenida Luís Césár Rodrigues Pereira,0,,,182268,,1,,,,Vila Franca De Xira,,,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
