code,name,geocoder_address,address,locality,municipality,district,postal_code,nature,cicle
803752,Seixal International School,"Rua Doutor Luís Varela Cid, 54 - Bairro Alegre, 2865-022 FERNÃO FERRO, Seixal, Portugal","Rua Doutor Luís Varela Cid, 54 - Bairro Alegre",FERNÃO FERRO,Seixal,Setúbal,2865-022,Privado,Pré-escolar|1º Ciclo
238739,"Escola Básica n.º 1 de Galiza, Cascais","Rua Mestre de Aviz, 2765-303 ESTORIL, Cascais, Portugal",Rua Mestre de Aviz,ESTORIL,Cascais,Lisboa,2765-303,Publico,Pré-escolar|1º Ciclo
803316,Instituto da Imaculada para Pessoas com Necessidades Especiais,"Rua do Borja, 4, 1350-047 LISBOA, Lisboa, Portugal","Rua do Borja, 4",LISBOA,Lisboa,Lisboa,1350-047,Privado,Especial
504026,Colégio Moderno,"Rua Dr. João Soares, 19 e 22, 1600-060 LISBOA, Lisboa, Portugal","Rua Dr. João Soares, 19 e 22",LISBOA,Lisboa,Lisboa,1600-060,Privado,Pré-escolar|1º Ciclo|2º Ciclo|3º Ciclo|Secundário|Artistico
400117,"Escola Secundária D. Pedro V, Lisboa","Estrada das Laranjeiras, 122, 1600-136 LISBOA, Lisboa, Portugal","Estrada das Laranjeiras, 122",LISBOA,Lisboa,Lisboa,1600-136,Publico,3º Ciclo|Secundário|Profissional
806787,Astória International School - Secção I,"Avenida Almirante Gago Coutinho, 73, 1700-031 LISBOA, Lisboa, Portugal","Avenida Almirante Gago Coutinho, 73",LISBOA,Lisboa,Lisboa,1700-031,Privado,3º Ciclo|2º Ciclo
800110,Big Ben - Escola de Inglês,"Rua Marquês de Pombal, n° 120B, 2735-312 AGUALVA-CACÉM, Sintra, Portugal","Rua Marquês de Pombal, n° 120B",AGUALVA-CACÉM,Sintra,Lisboa,2735-312,Privado,Extra-escolar
501700,Jardim Infantil O Palhaço Alegre,"Calçada da Rinchoa, nº 13,  R/c  Dtº, 2635-311 RIO DE MOURO, Sintra, Portugal","Calçada da Rinchoa, nº 13,  R/c  Dtº",RIO DE MOURO,Sintra,Lisboa,2635-311,Privado,Pré-escolar
402679,"Escola Secundária do Restelo, Lisboa","R. Antão Gonçalves, 1400-015 LISBOA, Lisboa, Portugal",R. Antão Gonçalves,LISBOA,Lisboa,Lisboa,1400-015,Publico,3º Ciclo|Secundário
400415,"Escola Secundária de Santa Maria, Sintra","R. Pedro de Cintra, 2710-436 SINTRA, Sintra, Portugal",R. Pedro de Cintra,SINTRA,Sintra,Lisboa,2710-436,Publico,Secundário|Profissional
517150,Jardim De Infância Da Casa Da Infância De Santa Quitéria - Fundação Dom Pedro Iv,"Rua De Santa Isabel, Nº 87, 1250-208 LISBOA, Lisboa, Portugal","Rua De Santa Isabel, Nº 87",LISBOA,Lisboa,Lisboa,1250-208,Privado,Pré-escolar
