stop_id,stop_name,tts_stop_name
130591,FONTE VACA NORT (ACEIRO F SILVEST) X EM1024,Cruzamento Entre Fonte Vaca Nort ( Aceiro F Silvest ) E Estrada Municipal 1024
130592,FONTE VACA NORT (ACEIRO F SILVEST) X EM1024,Cruzamento Entre Fonte Vaca Nort ( Aceiro F Silvest ) E Estrada Municipal 1024
130593,FONTE VACA SUL (ACEIRO F SILVESTRE) QTA OLIV,Fonte Vaca Sul ( Aceiro F Silvestre ) Quinta Oliv
130594,FONTE VACA SUL (ACEIRO F SILVESTRE) QTA OLIV,Fonte Vaca Sul ( Aceiro F Silvestre ) Quinta Oliv
130595,FONTE VACA SUL (ACEIRO FRANC SILVESTRE),Fonte Vaca Sul ( Aceiro Francisco Silvestre )
130596,FONTE VACA SUL (ACEIRO FRANC SILVESTRE),Fonte Vaca Sul ( Aceiro Francisco Silvestre )
130597,PENTEADO X (EN 379-2) MARCO KM 8,Cruzamento Entre Penteado E ( Estrada Nacional 379 - 2 ) Marco Quilómetro 8
130598,PENTEADO X (EN 379-2) MARCO KM 8,Cruzamento Entre Penteado E ( Estrada Nacional 379 - 2 ) Marco Quilómetro 8
130599,OLHOS ÁGUA (EN379-2) PASS DESNIVELADA,Olhos Água ( Estrada Nacional 379 - 2 ) Pass Desnivelada
130600,OLHOS ÁGUA (EN379-2) PASS DESNIVELADA,Olhos Água ( Estrada Nacional 379 - 2 ) Pass Desnivelada
130601,OLHOS ÁGUA (EN 379-2) X R CHEN,Cruzamento Entre Olhos Água ( Estrada Nacional 379 - 2 ) E Rua Chen
130602,OLHOS ÁGUA (EN 379-2) X R CHEN,Cruzamento Entre Olhos Água ( Estrada Nacional 379 - 2 ) E Rua Chen
130603,OLHOS ÁGUA (EN 379-2 2),Olhos Água ( Estrada Nacional 379 - 2 2 )
130604,OLHOS ÁGUA (EN 379-2 2),Olhos Água ( Estrada Nacional 379 - 2 2 )
130605,ESTR RESTAURADORES CONCELHO PALMELA 56,Estrada Restauradores Concelho Palmela 56
130606,ESTR RESTAURADORES CONCELHO PALMELA 56,Estrada Restauradores Concelho Palmela 56
130607,LAGOINHA (EN 379-2 X AV LUSIADAS),Lagoinha ( Cruzamento Entre Estrada Nacional 379 - 2 E Avenida Lusiadas )
130608,LAGOINHA (EN 379-2 X AV LUSIADAS),Lagoinha ( Cruzamento Entre Estrada Nacional 379 - 2 E Avenida Lusiadas )
130609,LAGOINHA (EN379-2 X AV MAL COSTA GOMES),Lagoinha ( Cruzamento Entre Estrada Nacional 379 - 2 E Avenida Mal Costa Gomes )
130610,LAGOINHA (EN379-2 X AV MAL COSTA GOMES),Lagoinha ( Cruzamento Entre Estrada Nacional 379 - 2 E Avenida Mal Costa Gomes )
130611,LAGOINHA (EN 379-2) R PINHEIROS,Lagoinha ( Estrada Nacional 379 - 2 ) Rua Pinheiros
130612,LAGOINHA (EN 379-2) R PINHEIROS,Lagoinha ( Estrada Nacional 379 - 2 ) Rua Pinheiros
130613,VALE TOURO (EN 379-2) VIV CARVALHO,Vale Touro ( Estrada Nacional 379 - 2 ) Vivenda Carvalho
130614,VALE TOURO (EN 379-2) VIV CARVALHO,Vale Touro ( Estrada Nacional 379 - 2 ) Vivenda Carvalho
130615,VALE TOURO (EN 379-2 X ESTR CARRASCAS),Vale Touro ( Cruzamento Entre Estrada Nacional 379 - 2 E Estrada Carrascas )
130616,VALE TOURO (EN 379-2 X ESTR CARRASCAS),Vale Touro ( Cruzamento Entre Estrada Nacional 379 - 2 E Estrada Carrascas )
130617,VALE TOURO (EN 379-2) X CABO VISÃO,Cruzamento Entre Vale Touro ( Estrada Nacional 379 - 2 ) E Cabo Visão
130618,VALE TOURO (EN 379-2) X CABO VISÃO,Cruzamento Entre Vale Touro ( Estrada Nacional 379 - 2 ) E Cabo Visão
130619,VALE TOURO (EN 379-2) X QTA VIEGAS,Cruzamento Entre Vale Touro ( Estrada Nacional 379 - 2 ) E Quinta Viegas
130620,VALE TOURO (EN 379-2) X QTA VIEGAS,Cruzamento Entre Vale Touro ( Estrada Nacional 379 - 2 ) E Quinta Viegas
130621,PALMELA (EN 379-2) QTA OLHO ÁGUA 821,Palmela ( Estrada Nacional 379 - 2 ) Quinta Olho Água 821
130622,PALMELA (EN 379-2) QTA OLHO ÁGUA 821,Palmela ( Estrada Nacional 379 - 2 ) Quinta Olho Água 821
