pattern_id,velocity
4901_0_1,29.82
4901_0_2,30.18
4901_1_1,34.07
4901_1_2,35.13
4902_0_1,38.82
4902_0_2,37.17
4905_0_1,45.72
4905_0_2,45.64
4906_0_1,45.46
4906_0_2,45.09
4906_1_2,49.00
4997_0_1,53.29
4997_0_2,50.13
4998_0_1,55.63
4998_0_2,56.29
4999_0_1,19.72
4999_0_2,19.10
