stop_id,tts
020247,Rua Soeiro Pereira Gomes 2
020249,Avenida De Vale Bem 35
020251,Charnéca De Caparíca ( Rua Pedro Costa ) Tremoceira
020253,Bairro Fundo Fomento Rua 3 Vales ( Escola Básica )
020254,Bairro Fundo Fomento Rua 3 Vales ( Escola Básica )
020255,Bairro Fundo Fomento ( Rua 3 Vales ( Número 65 ) )
020256,Bairro Fundo Fomento ( Rua 3 Vales ( Número 65 ) )
020257,Rua António Gião 14
020258,Rua António Gião 14
020259,Bairro Fundo Fomento ( Rua Mirad Alfazina ) Terminal
020260,Bairro Fundo Fomento ( Rua Mirad Alfazina ) Terminal
020261,Bairro Fundo Fomento ( Rua Moinho ( Número 11 ) )
020262,Bairro Fundo Fomento ( Rua Moinho ( Número 11 ) )
020263,Bairro Fundo Fomento ( Rua Moinho R 43 )
020264,Bairro Fundo Fomento ( Rua Moinho R 43 )
020265,Bairro Fundo Fomento ( Rua 3 Vales ( Número 45 ) )
020266,Bairro Fundo Fomento ( Rua 3 Vales ( Número 45 ) )
020267,Bairro Fundo Fomento ( Rua 3 Vales ( Número 35 ) )
020268,Bairro Fundo Fomento ( Rua 3 Vales ( Número 35 ) )
020269,Bairro Fundo Fomento ( Rua 3 Vales ) Quinta Rosa
020271,Bairro Cor Rosa ( Estação ) Casquilho 3 ( Matadouro )
020272,Bairro Cor Rosa ( Estação ) Casquilho 3 ( Matadouro )
020273,Bairro Cor Rosa ( Rua Bela Vista 4 )
020275,Pragal ( Avenida Torrado Silva ) Estação
020276,Pragal ( Avenida Torrado Silva ) Estação
020277,Avenida Torrado Silva ( Hospital Garcia De Orta )
020279,Pragal Rua Cidade Ostrava 8 ( Junta De Freguesia )
020280,Pragal Rua Cidade Ostrava 8 ( Junta De Freguesia )
020281,Cova Piedade ( Rua Ramiro Ferrão 38 )
020282,Cova Piedade ( Rua Ramiro Ferrão 38 )
020283,Cova Piedade ( Rua Luisa Sigeia 4 )
020284,Cova Piedade ( Rua Luisa Sigeia 4 )
020285,Cruzamento Entre ( Cóva Piedade ( Rua Vera Cruz ) ) E ( Praça Ceilão )
020286,Cruzamento Entre ( Cóva Piedade ( Rua Vera Cruz ) ) E ( Praça Ceilão )
020287,Cova Piedade ( Rua Comandante Oliveira Carmo 24 )
020289,Pragal ( Rua Direita Pragal Lóte 10 )
020290,Pragal ( Rua Direita Pragal Lóte 10 )
020291,Pragal ( Avenida Torrado Silva ) Frente Hospital Garcia De Orta
020293,Bairro Cor Rosa ( Rua Bela Vista 3 )
020295,Bairro Fundo Fomento Rua 3 Vales ( Escola )
020297,Banática ( Terminal ) Rua Conselheiro Manuel Luis Fernando
020298,Banática ( Terminal ) Rua Conselheiro Manuel Luis Fernando
020299,Monte De Caparíca ( Rua Conselheiro M Fernandes 62 )
020300,Monte De Caparíca ( Rua Conselheiro M Fernandes 62 )
020301,Monte De Caparíca Rua Conselheiro Manuel Luis Fernando ( Clube Recreativo )
020302,Monte De Caparíca Rua Conselheiro Manuel Luis Fernando ( Clube Recreativo )
020303,Monte De Caparíca Rua Conselheiro M Fernandes 62
020304,Monte De Caparíca Rua Conselheiro M Fernandes 62
020305,Cruzamento Entre ( Monte De Caparíca Rua Conselheiro Manuel Luis Fernando ) E ( Rua Facho )
020306,Cruzamento Entre ( Monte De Caparíca Rua Conselheiro Manuel Luis Fernando ) E ( Rua Facho )
020307,Monte De Caparíca ( Cruzamento Entre ( Avenida Torrado Silva ) E ( Fómega ) )
020308,Monte De Caparíca ( Cruzamento Entre ( Avenida Torrado Silva ) E ( Fómega ) )
020309,Monte De Caparíca Rua Trabalhadores Rurais ( Rotunda )
020310,Monte De Caparíca Rua Trabalhadores Rurais ( Rotunda )
020311,Monte De Caparíca ( Largo Candido Reis 76 )
020313,Cruzamento Entre ( Monte De Caparíca Avenida Timor Loro Sae ) E ( Porto Brandão )
020314,Cruzamento Entre ( Monte De Caparíca Avenida Timor Loro Sae ) E ( Porto Brandão )
020315,Cruzamento Entre ( Torre Caparica ( Estrada Nacional 10 - 1 ) ) E ( Faculdade )
020317,Monte De Caparíca ( F. C. T. ) Rotunda
020319,Casas Velhas ( Dia Á Dia )
020321,Lazarim ( Rua São Macário 772 ) Quinta São Francisco
020322,Lazarim ( Rua São Macário 772 ) Quinta São Francisco
020323,Lazarim ( Cruzamento Entre ( Rua São Macário ) E ( Rua Humberto Madeira ) )
020325,Lazarim ( Quinta Regateira ( Número 15 ) )
